#sample_a	sample_b	relatedness	ibs0	ibs2	hom_concordance	hets_a	hets_b	hets_ab	shared_hets	hom_alts_a	hom_alts_b	shared_hom_alts	n	x_ibs0	x_ibs2	expected_relatedness
U084466CM2014D19622	U084466PF2014D19620	0.496	1	9346	0.668	6439	6379	12700	3149	5158	5158	3447	15749	0	193	-1.0
U084466CM2014D19622	U084466PM2014D19812	0.499	1	9342	0.667	6439	6491	12796	3192	5158	5152	3437	15755	122	181	-1.0
U084466CM2014D19622	U143920CM2016D22827	-0.022	1414	6858	-0.093	6439	6521	12859	2686	5158	5137	2351	15759	135	168	-1.0
U084466CM2014D19622	U143920PF2016D22831	-0.003	1388	6907	-0.088	6439	6644	12973	2756	5158	5013	2337	15756	61	105	-1.0
U084466CM2014D19622	U143920PF2016D24514	-0.015	1397	6802	-0.088	6439	6600	12927	2695	5158	5078	2348	15736	65	104	-1.0
U084466CM2014D19622	U192125CF2019D01182	-0.051	1490	6831	-0.127	6439	6411	12741	2654	5158	5124	2331	15754	53	115	-1.0
U084466CM2014D19622	U192125PF2019D11568	-0.041	1484	6823	-0.138	6439	6536	12863	2707	5158	5030	2273	15756	70	118	-1.0
U084466CM2014D19622	U192125PM2019D11570	-0.040	1426	6816	-0.087	6439	6389	12714	2600	5158	5185	2401	15756	114	188	-1.0
U084466PF2014D19620	U084466PM2014D19812	-0.004	1322	6914	-0.041	6379	6491	12759	2618	5158	5152	2434	15759	69	124	-1.0
U084466PF2014D19620	U143920CM2016D22827	-0.015	1368	6892	-0.067	6379	6521	12787	2642	5158	5137	2391	15763	75	119	-1.0
U084466PF2014D19620	U143920PF2016D22831	0.005	1337	6920	-0.067	6379	6644	12909	2705	5158	5013	2337	15756	25	132	-1.0
U084466PF2014D19620	U143920PF2016D24514	-0.021	1424	6870	-0.097	6379	6600	12867	2710	5158	5078	2354	15741	26	113	-1.0
U084466PF2014D19620	U192125CF2019D01182	-0.054	1456	6748	-0.113	6379	6411	12692	2567	5158	5124	2333	15762	22	133	-1.0
U084466PF2014D19620	U192125PF2019D11568	-0.039	1421	6715	-0.111	6379	6536	12807	2591	5158	5030	2282	15761	26	128	-1.0
U084466PF2014D19620	U192125PM2019D11570	-0.051	1475	6887	-0.106	6379	6389	12649	2627	5158	5185	2402	15757	70	123	-1.0
U084466PM2014D19812	U143920CM2016D22827	-0.021	1435	6911	-0.092	6491	6521	12897	2733	5152	5137	2397	15777	136	167	-1.0
U084466PM2014D19812	U143920PF2016D22831	-0.004	1416	6943	-0.098	6491	6644	13024	2808	5152	5013	2341	15767	59	107	-1.0
U084466PM2014D19812	U143920PF2016D24514	-0.026	1436	6746	-0.114	6491	6600	12976	2704	5152	5078	2293	15750	68	101	-1.0
U084466PM2014D19812	U192125CF2019D01182	-0.037	1468	6899	-0.112	6491	6411	12802	2701	5152	5124	2364	15767	63	106	-1.0
U084466PM2014D19812	U192125PF2019D11568	-0.027	1415	6728	-0.104	6491	6536	12932	2653	5152	5030	2307	15769	65	122	-1.0
U084466PM2014D19812	U192125PM2019D11570	-0.039	1429	6770	-0.089	6491	6389	12782	2606	5152	5185	2400	15769	144	158	-1.0
U143920CM2016D22827	U143920PF2016D22831	0.500	0	9240	0.667	6521	6644	13059	3262	5137	5013	3343	15775	0	167	-1.0
U143920CM2016D22827	U143920PF2016D24514	0.190	843	7741	0.207	6521	6600	13015	2922	5137	5078	2739	15755	30	140	-1.0
U143920CM2016D22827	U192125CF2019D01182	-0.033	1427	6799	-0.098	6521	6411	12835	2644	5137	5124	2350	15773	51	118	-1.0
U143920CM2016D22827	U192125PF2019D11568	-0.021	1413	6800	-0.100	6521	6536	12943	2691	5137	5030	2323	15774	62	125	-1.0
U143920CM2016D22827	U192125PM2019D11570	-0.026	1417	6868	-0.090	6521	6389	12821	2666	5137	5185	2374	15774	123	180	-1.0
U143920PF2016D22831	U143920PF2016D24514	0.492	1	9077	0.648	6644	6600	13128	3230	5013	5078	3252	15746	0	163	-1.0
U143920PF2016D22831	U192125CF2019D01182	-0.024	1412	6740	-0.106	6644	6411	12954	2671	5013	5124	2295	15764	15	118	-1.0
U143920PF2016D22831	U192125PF2019D11568	-0.003	1415	6902	-0.104	6644	6536	13074	2812	5013	5030	2309	15767	19	128	-1.0
U143920PF2016D22831	U192125PM2019D11570	-0.027	1441	6805	-0.117	6644	6389	12938	2708	5013	5185	2296	15768	64	102	-1.0
U143920PF2016D24514	U192125CF2019D01182	-0.051	1522	6746	-0.150	6600	6411	12905	2712	5078	5124	2284	15749	18	109	-1.0
U143920PF2016D24514	U192125PF2019D11568	-0.022	1438	6746	-0.120	6600	6536	13037	2735	5078	5030	2272	15751	25	132	-1.0
U143920PF2016D24514	U192125PM2019D11570	-0.053	1516	6750	-0.140	6600	6389	12869	2692	5078	5185	2319	15751	71	99	-1.0
U192125CF2019D01182	U192125PF2019D11568	0.491	1	9242	0.661	6411	6536	12824	3150	5124	5030	3325	15767	0	168	-1.0
U192125CF2019D01182	U192125PM2019D11570	0.482	0	9191	0.667	6411	6389	12703	3061	5124	5185	3417	15772	0	168	-1.0
U192125PF2019D11568	U192125PM2019D11570	-0.024	1427	6923	-0.098	6536	6389	12823	2702	5030	5185	2359	15769	75	112	-1.0
